ProcessID,Arrival Time,Total CPU Time,Time spent in Ready Queue,Time spent in I/O pool
100,340,1,418,0
101,81,5,565,0
102,2,1,3,0
103,147,9,46,11
104,116,12,451,5
105,271,2,469,0
106,252,10,189,4
107,15,3,37,12
108,248,11,465,2
109,301,12,25,6
110,252,2,186,0
111,215,1,1,0
112,222,15,453,2
113,65,12,557,0
114,224,9,467,0
115,1,3,1,0
116,154,3,202,0
117,307,12,159,0
118,128,1,149,0
119,133,11,28,0
120,4,11,10,0
121,253,13,490,7
122,26,2,569,0
123,203,7,10,19
124,68,10,562,3
125,143,1,43,0
126,88,15,460,0
127,0,2,0,0
128,312,13,169,1
129,135,13,31,4
130,24,14,478,0
131,235,3,2,7
132,88,5,7,0
133,255,9,9,2
134,46,10,186,0
135,291,2,451,0
136,240,3,179,0
137,165,9,15,0
138,330,8,158,0
139,69,6,573,0
140,146,11,24,1
141,217,9,182,0
142,336,4,11,0
143,115,13,27,0
144,150,13,159,0
145,97,9,21,0
146,220,5,186,0
147,63,7,457,2
148,148,9,444,0
149,41,13,474,7
150,54,7,557,5
151,63,1,453,0
152,98,7,14,0
153,171,1,484,0
154,240,11,188,0
155,119,9,155,0
156,200,1,1,0
157,295,7,18,0
158,8,1,69,0
159,13,14,75,3
160,248,14,475,2
161,43,5,6,0
162,18,9,199,0
163,7,4,587,6
164,100,6,15,0
165,11,12,23,0
166,246,11,8,6
167,25,5,10,0
168,340,1,419,0
169,175,11,200,0
170,44,4,467,0
171,21,5,11,0
172,242,1,15,0
173,327,6,428,0
174,304,5,151,0
175,203,7,454,0
176,188,12,19,0
177,43,11,560,0
178,234,12,182,0
179,323,10,25,0
180,142,12,150,3
181,287,13,56,0
182,212,11,460,0
183,295,7,148,6
184,130,6,440,2
185,113,6,10,0
186,90,8,156,0
187,145,8,438,0
188,34,10,41,0
189,125,4,59,0
190,34,10,15,7
191,173,7,189,0
192,224,12,483,5
193,193,12,195,0
194,102,9,455,0
195,77,5,453,0
196,88,5,562,0
197,193,4,196,0
198,304,7,50,0
199,33,10,33,5
